"","pgovwin","govpoints","benchcalls"
"65",0.936,2.22085,0.6495
"66",0.935,2.22025,0.6493
"67",0.934,2.21215,0.6441
"68",0.933,2.2136,0.6418
"69",0.932,2.2074,0.6394
"70",0.931,2.19445,0.6251
"71",0.93,2.2041,0.6334
"72",0.929,2.19125,0.6259
"73",0.928,2.20085,0.6309
"74",0.927,2.19405,0.6177
"75",0.926,2.1894,0.6193
"76",0.925,2.19605,0.6298
"77",0.924,2.19295,0.6235
"78",0.923,2.1943,0.6278
"79",0.922,2.17725,0.6134
"80",0.921,2.17795,0.6112
"81",0.92,2.1846,0.6149
"82",0.919,2.17195,0.6045
"83",0.918,2.17485,0.6087
"84",0.917,2.1682,0.5988
"85",0.916,2.1674,0.6016
"86",0.915,2.16415,0.5956
"87",0.914,2.1674,0.598
"88",0.913,2.1578,0.5994
"89",0.912,2.1638,0.6032
"90",0.911,2.16235,0.5999
"91",0.91,2.15155,0.5957
"92",0.909,2.1519,0.5877
"93",0.908,2.15195,0.5845
"94",0.907,2.15015,0.5848
"95",0.906,2.15205,0.5859
"96",0.905,2.1462,0.5812
"97",0.904,2.1403,0.579
"98",0.903,2.14295,0.5847
"99",0.902,2.13635,0.5815
"100",0.901,2.1254,0.5652
"101",0.9,2.1418,0.575
"102",0.899,2.1361,0.5784
"103",0.898,2.1327,0.5749
"104",0.897,2.13325,0.5676
"105",0.896,2.1229,0.5671
"106",0.895,2.12315,0.5669
"107",0.894,2.12035,0.561
"108",0.893,2.1257,0.5641
"109",0.892,2.11685,0.5626
"110",0.891,2.1171,0.5539
"111",0.89,2.11835,0.5593
"112",0.889,2.1212,0.565
"113",0.888,2.1062,0.554
"114",0.887,2.1112,0.5613
"115",0.886,2.1043,0.5541
"116",0.885,2.1012,0.5463
"117",0.884,2.09665,0.5531
"118",0.883,2.10035,0.5494
"119",0.882,2.0916,0.5417
"120",0.881,2.09395,0.5502
"121",0.88,2.0886,0.5347
"122",0.879,2.08955,0.5385
"123",0.878,2.0898,0.5375
"124",0.877,2.08955,0.5414
"125",0.876,2.08825,0.5371
"126",0.875,2.0796,0.5333
"127",0.874,2.07375,0.5289
"128",0.873,2.07905,0.5311
"129",0.872,2.0768,0.5308
"130",0.871,2.07165,0.525
"131",0.87,2.0766,0.5324
"132",0.869,2.07205,0.5292
"133",0.868,2.0593,0.5224
"134",0.867,2.0753,0.5299
"135",0.866,2.07215,0.526
"136",0.865,2.06975,0.5295
"137",0.864,2.0631,0.5216
"138",0.863,2.0664,0.525
"139",0.862,2.04935,0.5241
"140",0.861,2.0609,0.5244
"141",0.86,2.0558,0.5158
"142",0.859,2.05835,0.5278
"143",0.858,2.0553,0.5176
"144",0.857,2.0421,0.5142
"145",0.856,2.04535,0.5067
"146",0.855,2.051,0.5119
"147",0.854,2.04415,0.5103
"148",0.853,2.045,0.5148
"149",0.852,2.03705,0.5058
"150",0.851,2.03925,0.5085
"151",0.85,2.03465,0.5055
"152",0.849,2.0317,0.5025
"153",0.848,2.03,0.5082
"154",0.847,2.02935,0.5011
"155",0.846,2.0309,0.5027
"156",0.845,2.0285,0.4973
"157",0.844,2.03245,0.5017
"158",0.843,2.02005,0.4986
"159",0.842,2.0182,0.4992
"160",0.841,2.0173,0.4911
"161",0.84,2.01595,0.4966
"162",0.839,2.00605,0.4871
"163",0.838,2.01485,0.4892
"164",0.837,2.01745,0.4896
"165",0.836,2.0153,0.4932
"166",0.835,2.0221,0.4911
"167",0.834,2.0119,0.4875
"168",0.833,2.0059,0.4811
"169",0.832,2.00465,0.4856
"170",0.831,2.0017,0.4768
"171",0.83,2.00475,0.4784
"172",0.829,2.00285,0.4788
"173",0.828,1.9959,0.4808
"174",0.827,1.9896,0.4738
"175",0.826,1.99345,0.4803
"176",0.825,1.99975,0.4756
"177",0.824,1.99765,0.4783
"178",0.823,1.97445,0.4657
"179",0.822,1.9883,0.4697
"180",0.821,1.9765,0.462
"181",0.82,1.9904,0.4791
"182",0.819,1.98035,0.466
"183",0.818,1.975,0.4738
"184",0.817,1.983,0.4704
"185",0.816,1.9774,0.4655
"186",0.815,1.981,0.4693
"187",0.814,1.97445,0.4676
"188",0.813,1.9725,0.4628
"189",0.812,1.97165,0.4613
"190",0.811,1.9637,0.4584
"191",0.81,1.9602,0.4612
"192",0.809,1.96165,0.4591
"193",0.808,1.96525,0.4673
"194",0.807,1.96225,0.4598
"195",0.806,1.96255,0.4574
"196",0.805,1.96815,0.46
"197",0.804,1.9461,0.453
"198",0.803,1.966,0.4648
"199",0.802,1.95315,0.4556
"200",0.801,1.95715,0.4546
"201",0.8,1.9552,0.4576
"202",0.799,1.94695,0.4502
"203",0.798,1.9492,0.4609
"204",0.797,1.9445,0.4451
"205",0.796,1.93555,0.4387
"206",0.795,1.9393,0.4506
"207",0.794,1.9296,0.4446
"208",0.793,1.92995,0.4424
"209",0.792,1.9372,0.4459
"210",0.791,1.92975,0.4386
"211",0.79,1.9335,0.4437
"212",0.789,1.93035,0.4462
"213",0.788,1.9324,0.4423
"214",0.787,1.9327,0.4457
"215",0.786,1.93085,0.4472
"216",0.785,1.92435,0.4467
"217",0.784,1.91755,0.4368
"218",0.783,1.9156,0.4347
"219",0.782,1.91975,0.4311
"220",0.781,1.9162,0.4338
"221",0.78,1.9176,0.4427
"222",0.779,1.91435,0.4359
"223",0.778,1.91975,0.4408
"224",0.777,1.9051,0.4252
"225",0.776,1.91065,0.428
"226",0.775,1.9077,0.4323
"227",0.774,1.90405,0.4264
"228",0.773,1.90725,0.431
"229",0.772,1.90845,0.4373
"230",0.771,1.913,0.4405
"231",0.77,1.90105,0.4255
"232",0.769,1.9031,0.4262
"233",0.768,1.89825,0.429
"234",0.767,1.8859,0.4202
"235",0.766,1.89535,0.4216
"236",0.765,1.8866,0.4249
"237",0.764,1.8839,0.4134
"238",0.763,1.88815,0.4262
"239",0.762,1.8903,0.4259
"240",0.761,1.9,0.4264
"241",0.76,1.88465,0.4194
"242",0.759,1.88395,0.4192
"243",0.758,1.8746,0.4122
"244",0.757,1.88115,0.4189
"245",0.756,1.88225,0.419
"246",0.755,1.8696,0.4103
"247",0.754,1.88015,0.4155
"248",0.753,1.865,0.4167
"249",0.752,1.86245,0.4123
"250",0.751,1.868,0.4131
"251",0.75,1.86335,0.4136
"252",0.749,1.8612,0.4093
"253",0.748,1.8561,0.4084
"254",0.747,1.85005,0.4075
"255",0.746,1.8663,0.4102
"256",0.745,1.84975,0.4032
"257",0.744,1.8436,0.4011
"258",0.743,1.85215,0.4003
"259",0.742,1.84075,0.4019
"260",0.741,1.84375,0.4025
"261",0.74,1.84405,0.4028
"262",0.739,1.8439,0.4059
"263",0.738,1.8616,0.4076
"264",0.737,1.85685,0.4066
"265",0.736,1.848,0.4064
"266",0.735,1.83645,0.4044
"267",0.734,1.854,0.4028
"268",0.733,1.8343,0.4046
"269",0.732,1.8347,0.401
"270",0.731,1.84085,0.3916
"271",0.73,1.8352,0.4052
"272",0.729,1.83605,0.3977
"273",0.728,1.82405,0.397
"274",0.727,1.8375,0.3936
"275",0.726,1.8365,0.3949
"276",0.725,1.827,0.3969
"277",0.724,1.82685,0.393
"278",0.723,1.82255,0.3984
"279",0.722,1.8191,0.4007
"280",0.721,1.83395,0.4025
"281",0.72,1.8299,0.3919
"282",0.719,1.82275,0.4045
"283",0.718,1.81475,0.3965
"284",0.717,1.79825,0.3847
"285",0.716,1.81415,0.3937
"286",0.715,1.8177,0.3895
"287",0.714,1.8139,0.3948
"288",0.713,1.8108,0.3923
"289",0.712,1.7988,0.3811
"290",0.711,1.79835,0.3824
"291",0.71,1.80215,0.3863
"292",0.709,1.8171,0.4028
"293",0.708,1.78935,0.3817
"294",0.707,1.7985,0.3839
"295",0.706,1.7996,0.3815
"296",0.705,1.7952,0.377
"297",0.704,1.7881,0.3788
"298",0.703,1.7992,0.3845
"299",0.702,1.79515,0.3842
"300",0.701,1.8064,0.3875
"301",0.7,1.78945,0.3846
"302",0.699,1.7952,0.3811
"303",0.698,1.76825,0.3698
"304",0.697,1.78685,0.3847
"305",0.696,1.7843,0.3832
"306",0.695,1.78795,0.3766
"307",0.694,1.7809,0.3856
"308",0.693,1.78275,0.3855
"309",0.692,1.7847,0.3826
"310",0.691,1.77805,0.3747
"311",0.69,1.78055,0.3809
"312",0.689,1.76435,0.3664
"313",0.688,1.77055,0.374
"314",0.687,1.7614,0.3713
"315",0.686,1.76465,0.3688
"316",0.685,1.7699,0.382
"317",0.684,1.7739,0.3727
"318",0.683,1.76135,0.3793
"319",0.682,1.7638,0.372
"320",0.681,1.75425,0.3712
"321",0.68,1.7489,0.3708
"322",0.679,1.75215,0.3717
"323",0.678,1.75635,0.3659
"324",0.677,1.75055,0.3745
"325",0.676,1.7472,0.3741
"326",0.675,1.7527,0.372
"327",0.674,1.75675,0.3717
"328",0.673,1.74785,0.3708
"329",0.672,1.74765,0.3677
"330",0.671,1.74675,0.3657
"331",0.67,1.74875,0.3661
"332",0.669,1.7449,0.3668
"333",0.668,1.74445,0.3718
"334",0.667,1.73675,0.3681
"335",0.666,1.7299,0.3575
"336",0.665,1.733,0.367
"337",0.664,1.7291,0.36
"338",0.663,1.735,0.3704
"339",0.662,1.73825,0.3648
"340",0.661,1.73945,0.3695
"341",0.66,1.7271,0.3656
"342",0.659,1.7241,0.3653
"343",0.658,1.7237,0.3734
"344",0.657,1.7232,0.3598
"345",0.656,1.72135,0.3644
"346",0.655,1.72645,0.3648
"347",0.654,1.72655,0.3595
"348",0.653,1.7141,0.3549
"349",0.652,1.7271,0.3613
"350",0.651,1.7109,0.3621
"351",0.65,1.7193,0.361
"352",0.649,1.70065,0.3602
"353",0.648,1.7177,0.3629
"354",0.647,1.7092,0.3545
"355",0.646,1.7155,0.3573
"356",0.645,1.70575,0.3555
"357",0.644,1.7022,0.3581
"358",0.643,1.70585,0.3601
"359",0.642,1.69605,0.3645
"360",0.641,1.7036,0.358
"361",0.64,1.70155,0.3525
"362",0.639,1.69725,0.3562
"363",0.638,1.69615,0.36
"364",0.637,1.69355,0.3533
"365",0.636,1.70375,0.3524
"366",0.635,1.68765,0.3527
"367",0.634,1.69775,0.3527
"368",0.633,1.6917,0.3485
"369",0.632,1.6881,0.3483
"370",0.631,1.688,0.3572
"371",0.63,1.68745,0.3541
"372",0.629,1.6896,0.3522
"373",0.628,1.68575,0.3578
"374",0.627,1.68205,0.3573
"375",0.626,1.67985,0.3451
"376",0.625,1.67485,0.3499
"377",0.624,1.688,0.3539
"378",0.623,1.67905,0.3484
"379",0.622,1.67515,0.3594
"380",0.621,1.67525,0.3392
"381",0.62,1.66505,0.3505
"382",0.619,1.66505,0.3499
"383",0.618,1.68135,0.3616
"384",0.617,1.6664,0.3514
"385",0.616,1.65385,0.3483
"386",0.615,1.66245,0.3492
"387",0.614,1.64935,0.3445
"388",0.613,1.65735,0.3523
"389",0.612,1.6664,0.3406
"390",0.611,1.66305,0.3483
"391",0.61,1.65945,0.3494
"392",0.609,1.65915,0.3467
"393",0.608,1.65295,0.3433
"394",0.607,1.6657,0.3487
"395",0.606,1.6553,0.3459
"396",0.605,1.6495,0.3445
"397",0.604,1.65265,0.3457
"398",0.603,1.64365,0.3464
"399",0.602,1.6365,0.348
"400",0.601,1.63755,0.3339
"401",0.6,1.64515,0.3461
"402",0.599,1.65065,0.344
"403",0.598,1.6418,0.3457
"404",0.597,1.6382,0.3405
"405",0.596,1.63675,0.351
"406",0.595,1.6345,0.341
"407",0.594,1.6301,0.3446
"408",0.593,1.6309,0.3408
"409",0.592,1.62325,0.3398
"410",0.591,1.6288,0.3392
"411",0.59,1.6267,0.3449
"412",0.589,1.6294,0.3418
"413",0.588,1.61935,0.3446
"414",0.587,1.63895,0.3377
"415",0.586,1.62625,0.3474
"416",0.585,1.6165,0.3401
"417",0.584,1.626,0.3438
"418",0.583,1.6177,0.337
"419",0.582,1.6163,0.3484
"420",0.581,1.61525,0.3411
"421",0.58,1.6074,0.3298
"422",0.579,1.6145,0.3421
"423",0.578,1.61,0.3382
"424",0.577,1.6119,0.3314
"425",0.576,1.60955,0.3439
"426",0.575,1.6052,0.3335
"427",0.574,1.6075,0.3353
"428",0.573,1.6037,0.3433
"429",0.572,1.59685,0.3382
"430",0.571,1.5925,0.3339
"431",0.57,1.59005,0.3316
"432",0.569,1.5933,0.3358
"433",0.568,1.59575,0.3516
"434",0.567,1.6019,0.3413
"435",0.566,1.58565,0.3335
"436",0.565,1.60205,0.3393
"437",0.564,1.59625,0.3362
"438",0.563,1.58555,0.3446
"439",0.562,1.5883,0.3422
"440",0.561,1.583,0.3348
"441",0.56,1.58135,0.3429
"442",0.559,1.5811,0.3346
"443",0.558,1.57915,0.3379
"444",0.557,1.58165,0.3364
"445",0.556,1.58505,0.343
"446",0.555,1.5838,0.3407
"447",0.554,1.57695,0.3461
"448",0.553,1.5707,0.3292
"449",0.552,1.5678,0.3348
"450",0.551,1.57545,0.3327
"451",0.55,1.5776,0.3375
"452",0.549,1.56775,0.339
"453",0.548,1.5715,0.3343
"454",0.547,1.57405,0.3313
"455",0.546,1.5664,0.3384
"456",0.545,1.54715,0.333
"457",0.544,1.56745,0.3296
"458",0.543,1.562,0.3369
"459",0.542,1.5649,0.3273
"460",0.541,1.5564,0.3378
"461",0.54,1.55945,0.3449
"462",0.539,1.5529,0.3392
"463",0.538,1.5553,0.3322
"464",0.537,1.54685,0.3291
"465",0.536,1.54285,0.3383
"466",0.535,1.5524,0.3394
"467",0.534,1.55565,0.3354
"468",0.533,1.53565,0.3448
"469",0.532,1.5376,0.3317
"470",0.531,1.5435,0.3279
"471",0.53,1.5472,0.34
"472",0.529,1.53675,0.3393
"473",0.528,1.53665,0.3387
"474",0.527,1.54055,0.3372
"475",0.526,1.53445,0.3399
"476",0.525,1.5237,0.3417
"477",0.524,1.5245,0.3385
"478",0.523,1.5336,0.3407
"479",0.522,1.5298,0.3232
"480",0.521,1.5338,0.3381
"481",0.52,1.5347,0.3342
"482",0.519,1.53215,0.3377
"483",0.518,1.52755,0.3369
"484",0.517,1.52105,0.336
"485",0.516,1.5171,0.3331
"486",0.515,1.52315,0.3286
"487",0.514,1.51975,0.3316
"488",0.513,1.51275,0.3376
"489",0.512,1.51345,0.3398
"490",0.511,1.51885,0.3269
"491",0.51,1.5053,0.3382
"492",0.509,1.52535,0.3379
"493",0.508,1.50765,0.3248
"494",0.507,1.5102,0.3315
"495",0.506,1.5003,0.3381
"496",0.505,1.5111,0.3262
"497",0.504,1.502,0.3342
"498",0.503,1.5071,0.3375
"499",0.502,1.5078,0.3327
"500",0.501,1.49635,0.3329
"501",0.5,1.4995,0.3374
"502",0.499,1.4944,0.3412
"503",0.498,1.4942,0.3368
"504",0.497,1.49235,0.3281
"505",0.496,1.4898,0.3327
"506",0.495,1.4886,0.3339
"507",0.494,1.5026,0.3339
"508",0.493,1.4987,0.338
"509",0.492,1.4812,0.3319
"510",0.491,1.48245,0.3279
"511",0.49,1.4934,0.33
"512",0.489,1.48705,0.3281
"513",0.488,1.4827,0.3338
"514",0.487,1.47555,0.3324
"515",0.486,1.47585,0.331
"516",0.485,1.47005,0.338
"517",0.484,1.4827,0.3343
"518",0.483,1.4723,0.3417
"519",0.482,1.46435,0.3441
"520",0.481,1.47575,0.3382
"521",0.48,1.4653,0.341
"522",0.479,1.47915,0.3271
"523",0.478,1.478,0.3269
"524",0.477,1.4702,0.3371
"525",0.476,1.4726,0.3294
"526",0.475,1.4764,0.3371
"527",0.474,1.46725,0.3382
"528",0.473,1.469,0.3234
"529",0.472,1.45935,0.3339
"530",0.471,1.4594,0.3368
"531",0.47,1.45145,0.3309
"532",0.469,1.4605,0.3271
"533",0.468,1.45295,0.3397
"534",0.467,1.45585,0.3334
"535",0.466,1.4526,0.3339
"536",0.465,1.4392,0.3353
"537",0.464,1.43955,0.3333
"538",0.463,1.4404,0.3357
"539",0.462,1.4444,0.3392
"540",0.461,1.45115,0.3373
"541",0.46,1.4417,0.3377
"542",0.459,1.44455,0.3319
"543",0.458,1.43895,0.3363
"544",0.457,1.4425,0.3354
"545",0.456,1.4411,0.3396
"546",0.455,1.435,0.3333
"547",0.454,1.4372,0.34
"548",0.453,1.4315,0.3319
"549",0.452,1.43005,0.3391
"550",0.451,1.42005,0.3299
"551",0.45,1.42265,0.3385
"552",0.449,1.41875,0.3429
"553",0.448,1.43685,0.3388
"554",0.447,1.4271,0.3361
"555",0.446,1.42055,0.3422
"556",0.445,1.41055,0.3319
"557",0.444,1.42575,0.3411
"558",0.443,1.41745,0.3349
"559",0.442,1.41465,0.3364
"560",0.441,1.4138,0.338
"561",0.44,1.41285,0.3377
"562",0.439,1.4141,0.3328
"563",0.438,1.40305,0.3322
"564",0.437,1.4148,0.3358
"565",0.436,1.4082,0.3362
"566",0.435,1.4062,0.3347
"567",0.434,1.4192,0.3326
"568",0.433,1.4089,0.3355
"569",0.432,1.39155,0.3437
"570",0.431,1.40145,0.3348
"571",0.43,1.39055,0.3363
"572",0.429,1.4086,0.3291
"573",0.428,1.3951,0.3353
"574",0.427,1.40225,0.3389
"575",0.426,1.3853,0.3343
"576",0.425,1.3917,0.3501
"577",0.424,1.39225,0.3418
"578",0.423,1.39445,0.3384
"579",0.422,1.3878,0.3479
"580",0.421,1.3873,0.3403
"581",0.42,1.38585,0.3367
"582",0.419,1.38735,0.3502
"583",0.418,1.3873,0.3406
"584",0.417,1.3811,0.3448
"585",0.416,1.37805,0.3452
"586",0.415,1.3901,0.334
"587",0.414,1.37315,0.3374
"588",0.413,1.3819,0.3396
"589",0.412,1.3703,0.3402
"590",0.411,1.36705,0.34
"591",0.41,1.3727,0.3523
"592",0.409,1.3702,0.3303
"593",0.408,1.374,0.3455
"594",0.407,1.3675,0.3308
"595",0.406,1.36505,0.3427
"596",0.405,1.35245,0.344
"597",0.404,1.35645,0.3467
"598",0.403,1.35975,0.3382
"599",0.402,1.3482,0.3393
"600",0.401,1.3766,0.3435
"601",0.4,1.35345,0.3424
"602",0.399,1.35645,0.3507
"603",0.398,1.3598,0.3463
"604",0.397,1.3521,0.3429
"605",0.396,1.35465,0.347
"606",0.395,1.3397,0.3498
"607",0.394,1.33605,0.3475
"608",0.393,1.34445,0.3432
"609",0.392,1.3543,0.3492
"610",0.391,1.3412,0.3466
"611",0.39,1.33995,0.3506
"612",0.389,1.33645,0.3568
"613",0.388,1.33915,0.3516
"614",0.387,1.35005,0.3477
"615",0.386,1.33885,0.3464
"616",0.385,1.3471,0.3512
"617",0.384,1.34235,0.3462
"618",0.383,1.3312,0.3491
"619",0.382,1.3463,0.3456
"620",0.381,1.3272,0.3486
"621",0.38,1.3282,0.3487
"622",0.379,1.3361,0.343
"623",0.378,1.32455,0.3495
"624",0.377,1.3368,0.3441
"625",0.376,1.32955,0.3523
"626",0.375,1.32735,0.3425
"627",0.374,1.31635,0.3522
"628",0.373,1.313,0.3479
"629",0.372,1.3257,0.347
"630",0.371,1.30745,0.3537
"631",0.37,1.3126,0.3493
"632",0.369,1.32675,0.3544
"633",0.368,1.31665,0.3568
"634",0.367,1.3225,0.3543
"635",0.366,1.30795,0.3487
"636",0.365,1.3089,0.3578
"637",0.364,1.30875,0.3535
"638",0.363,1.3102,0.3615
"639",0.362,1.30505,0.3562
"640",0.361,1.3047,0.3505
"641",0.36,1.30595,0.3555
"642",0.359,1.28965,0.3525
"643",0.358,1.29365,0.3645
"644",0.357,1.3006,0.3516
"645",0.356,1.3028,0.3593
"646",0.355,1.27065,0.3686
"647",0.354,1.2851,0.3554
"648",0.353,1.27825,0.3578
"649",0.352,1.29005,0.3602
"650",0.351,1.28145,0.3624
"651",0.35,1.29125,0.3468
"652",0.349,1.27795,0.3536
"653",0.348,1.2688,0.3621
"654",0.347,1.2713,0.3723
"655",0.346,1.2729,0.3671
"656",0.345,1.28145,0.3581
"657",0.344,1.2821,0.366
"658",0.343,1.2691,0.3731
"659",0.342,1.26635,0.369
"660",0.341,1.25805,0.3675
"661",0.34,1.27305,0.3633
"662",0.339,1.2733,0.3665
"663",0.338,1.27585,0.3548
"664",0.337,1.2582,0.3714
"665",0.336,1.2687,0.3626
"666",0.335,1.26935,0.3667
"667",0.334,1.2525,0.3725
"668",0.333,1.2578,0.3663
"669",0.332,1.25895,0.3597
"670",0.331,1.25875,0.3711
"671",0.33,1.2564,0.3751
"672",0.329,1.25625,0.369
"673",0.328,1.25305,0.3633
"674",0.327,1.25725,0.3659
"675",0.326,1.2467,0.3803
"676",0.325,1.2473,0.3702
"677",0.324,1.2498,0.3694
"678",0.323,1.2406,0.3683
"679",0.322,1.24725,0.3752
"680",0.321,1.2418,0.3723
"681",0.32,1.2438,0.3832
"682",0.319,1.2361,0.3707
"683",0.318,1.23715,0.3703
"684",0.317,1.2299,0.3721
"685",0.316,1.24425,0.3677
"686",0.315,1.2276,0.386
"687",0.314,1.2355,0.3751
"688",0.313,1.2256,0.3713
"689",0.312,1.2299,0.3715
"690",0.311,1.2372,0.3704
"691",0.31,1.2361,0.3725
"692",0.309,1.22075,0.3745
"693",0.308,1.22765,0.3675
"694",0.307,1.2115,0.3831
"695",0.306,1.2237,0.3811
"696",0.305,1.2366,0.3736
"697",0.304,1.22425,0.3757
"698",0.303,1.2263,0.3847
"699",0.302,1.2055,0.3869
"700",0.301,1.21425,0.3839
"701",0.3,1.2014,0.3832
"702",0.299,1.209,0.3825
"703",0.298,1.1994,0.3861
"704",0.297,1.2065,0.3847
"705",0.296,1.2003,0.3769
"706",0.295,1.20565,0.3908
"707",0.294,1.20895,0.3763
"708",0.293,1.20335,0.3901
"709",0.292,1.19225,0.3898
"710",0.291,1.2082,0.3803
"711",0.29,1.19675,0.382
"712",0.289,1.1874,0.3962
"713",0.288,1.2016,0.3837
"714",0.287,1.19885,0.3867
"715",0.286,1.1859,0.3904
"716",0.285,1.1819,0.3922
"717",0.284,1.1831,0.3924
"718",0.283,1.18455,0.3965
"719",0.282,1.18305,0.3932
"720",0.281,1.178,0.3943
"721",0.28,1.18345,0.3951
"722",0.279,1.1697,0.3938
"723",0.278,1.1781,0.401
"724",0.277,1.1777,0.3925
"725",0.276,1.17835,0.3928
"726",0.275,1.17135,0.3923
"727",0.274,1.16645,0.393
"728",0.273,1.1729,0.3905
"729",0.272,1.16675,0.3994
"730",0.271,1.1629,0.399
"731",0.27,1.16365,0.3937
"732",0.269,1.1593,0.4029
"733",0.268,1.16015,0.3968
"734",0.267,1.16745,0.3971
"735",0.266,1.1496,0.4048
"736",0.265,1.15795,0.4017
"737",0.264,1.1564,0.3983
"738",0.263,1.1475,0.4043
"739",0.262,1.1479,0.4029
"740",0.261,1.15335,0.403
"741",0.26,1.1477,0.4029
"742",0.259,1.15445,0.4013
"743",0.258,1.1428,0.4098
"744",0.257,1.14075,0.4133
"745",0.256,1.14195,0.4086
"746",0.255,1.13635,0.4143
"747",0.254,1.1329,0.4104
"748",0.253,1.1283,0.4142
"749",0.252,1.1333,0.4059
"750",0.251,1.1355,0.4114
"751",0.25,1.1165,0.4191
"752",0.249,1.1306,0.4151
"753",0.248,1.13615,0.4129
"754",0.247,1.12435,0.4132
"755",0.246,1.13265,0.4126
"756",0.245,1.12625,0.4129
"757",0.244,1.11975,0.4174
"758",0.243,1.1227,0.4113
"759",0.242,1.11265,0.4195
"760",0.241,1.12495,0.4168
"761",0.24,1.1172,0.4125
"762",0.239,1.1108,0.4201
"763",0.238,1.1158,0.4135
"764",0.237,1.1077,0.4142
"765",0.236,1.1049,0.4278
"766",0.235,1.10705,0.4265
"767",0.234,1.11185,0.4153
"768",0.233,1.106,0.4236
"769",0.232,1.1073,0.4272
"770",0.231,1.11425,0.4148
"771",0.23,1.09655,0.4302
"772",0.229,1.11445,0.424
"773",0.228,1.1021,0.4266
"774",0.227,1.09345,0.429
"775",0.226,1.0891,0.4357
"776",0.225,1.10465,0.4243
"777",0.224,1.104,0.427
"778",0.223,1.09525,0.4319
"779",0.222,1.07855,0.4393
"780",0.221,1.09205,0.4322
"781",0.22,1.08205,0.4295
"782",0.219,1.0854,0.4349
"783",0.218,1.07395,0.4378
"784",0.217,1.07685,0.4413
"785",0.216,1.0707,0.4393
"786",0.215,1.0723,0.4425
"787",0.214,1.0724,0.4466
"788",0.213,1.0811,0.432
"789",0.212,1.07055,0.4452
"790",0.211,1.0612,0.4463
"791",0.21,1.07695,0.4399
"792",0.209,1.0648,0.4498
"793",0.208,1.0678,0.4338
"794",0.207,1.05825,0.4402
"795",0.206,1.0673,0.4468
"796",0.205,1.067,0.4428
"797",0.204,1.0533,0.4546
"798",0.203,1.0644,0.4492
"799",0.202,1.05905,0.4391
"800",0.201,1.0559,0.4563
"801",0.2,1.0518,0.4478
"802",0.199,1.05595,0.4543
"803",0.198,1.05015,0.4611
"804",0.197,1.0457,0.4557
"805",0.196,1.04635,0.4513
"806",0.195,1.04685,0.4573
"807",0.194,1.04265,0.4587
"808",0.193,1.03855,0.4563
"809",0.192,1.03095,0.4705
"810",0.191,1.03625,0.4625
"811",0.19,1.0279,0.4655
"812",0.189,1.03425,0.4657
"813",0.188,1.0308,0.4658
"814",0.187,1.03025,0.468
"815",0.186,1.0282,0.4603
"816",0.185,1.0296,0.4696
"817",0.184,1.0126,0.4703
"818",0.183,1.02285,0.4674
"819",0.182,1.0146,0.4734
"820",0.181,1.0212,0.4747
"821",0.18,1.0282,0.4617
"822",0.179,1.01215,0.4754
"823",0.178,1.01095,0.4723
"824",0.177,1.01275,0.4677
"825",0.176,1.0088,0.4783
"826",0.175,1.0028,0.4766
"827",0.174,1.0127,0.467
"828",0.173,1.00795,0.4714
